year,human_ideas,income_level,population,initial_year,eras
-68000,1.0,1200.0,0.1,-68000,at the dawn
-8000,5.0,1200.0,2.5,-8000,agriculture & herding
-6000,6.3,900.0,7.0,-6000,proto-agrarian age
-3000,9.2,900.0,15.0,-3000,writing
-1000,16.8,900.0,50.0,-1000,axial age
1,30.9,900.0,170.0,1,late-antiquity pause
800,41.1,900.0,300.0,800,middle age
1500,53.0,900.0,500.0,1500,commercial revolution
1770,79.4,1100.0,750.0,1770,industrial revolution
1870,123.5,1300.0,1300.0,1870,modern economic growth
2020,2720.5,11842.0,7600.0,2020,what the 21st century brings
